volume,vw,open,close,high,low,timestamp,transactions
91880464.0,111.6963,111.57,111.73,111.97,111.425,2009-12-22 05:00:00,237112
112095018.0,111.8809,112.0,111.95,112.11,111.5,2009-12-23 05:00:00,209934
39677470.0,112.3344,112.19,112.48,112.6,111.9948,2009-12-24 05:00:00,88331
87678397.0,112.6382,112.9,112.72,112.99,112.32,2009-12-28 05:00:00,144667
80752442.0,112.7764,113.01,112.562,113.03,112.55,2009-12-29 05:00:00,192742
73544552.0,112.4371,112.23,112.52,112.65,112.17,2009-12-30 05:00:00,183103
90728738.0,112.1404,112.77,111.44,112.8,111.39,2009-12-31 05:00:00,195123
119331697.0,112.9052,112.37,113.33,113.39,112.33,2010-01-04 05:00:00,260615
111708379.0,113.3635,113.26,113.63,113.68,112.85,2010-01-05 05:00:00,258627
116235245.0,113.6964,113.52,113.71,113.99,113.43,2010-01-06 05:00:00,265468
131217008.0,113.8358,113.5,114.19,114.33,113.18,2010-01-07 05:00:00,307552
126555901.0,114.1353,113.89,114.57,114.62,113.66,2010-01-08 05:00:00,288285
106573530.0,114.6143,115.08,114.73,115.13,114.235,2010-01-11 05:00:00,274300
163479791.0,113.7724,113.97,113.66,114.21,113.22,2010-01-12 05:00:00,405383
161993347.0,114.1768,113.95,114.62,114.94,113.37,2010-01-13 05:00:00,404898
115929846.0,114.794,114.49,114.93,115.14,114.42,2010-01-14 05:00:00,305035
212285037.0,113.8668,114.73,113.64,114.84,113.2,2010-01-15 05:00:00,495668
139444577.0,114.5315,113.62,115.06,115.13,113.59,2010-01-19 05:00:00,346386
216675020.0,113.7532,114.28,113.89,114.45,112.98,2010-01-20 05:00:00,536026
345007499.0,112.5596,113.92,111.7,114.27,111.56,2010-01-21 05:00:00,795367
344941106.0,110.6453,111.2,109.21,111.62,109.09,2010-01-22 05:00:00,792798
187597658.0,109.9698,110.21,109.77,110.41,109.41,2010-01-25 05:00:00,489332
211421193.0,109.7707,109.34,109.31,110.47,109.04,2010-01-26 05:00:00,551654
272116372.0,109.1988,109.17,109.83,110.08,108.33,2010-01-27 05:00:00,630676
316264419.0,108.935,110.19,108.57,110.25,107.91,2010-01-28 05:00:00,652678
311099808.0,108.4652,109.04,107.39,109.8,107.22,2010-01-29 05:00:00,686754
188017380.0,108.5616,108.15,109.06,109.07,108.08,2010-02-01 05:00:00,458261
216388696.0,109.8624,109.26,110.38,110.59,108.88,2010-02-02 05:00:00,513167
172979987.0,109.9879,109.88,109.83,110.4815,109.51,2010-02-03 05:00:00,413244
357043232.0,107.5242,108.98,106.44,109.03,106.42,2010-02-04 05:00:00,732432
493789093.0,105.9856,106.56,106.66,106.88,104.58,2010-02-05 05:00:00,962311
224388299.0,106.5866,106.74,105.89,107.33,105.8099,2010-02-08 05:00:00,479089
338135381.0,107.2019,107.13,107.22,108.15,106.27,2010-02-09 05:00:00,819335
240710714.0,106.9257,107.05,107.01,107.6,106.11,2010-02-10 05:00:00,588803
223280543.0,107.4468,106.87,108.13,108.25,106.25,2010-02-11 05:00:00,535853
304804302.0,107.4093,106.99,108.04,108.1012,106.51,2010-02-12 05:00:00,696350
159562730.0,109.156,108.86,109.74,109.85,108.42,2010-02-16 05:00:00,400089
169085931.0,110.1233,110.27,110.26,110.41,109.74,2010-02-17 05:00:00,455547
193489651.0,110.5522,110.08,110.91,111.14,110.035,2010-02-18 05:00:00,459224
222959109.0,111.0385,110.62,111.14,111.57,110.36,2010-02-19 05:00:00,489809
132623313.0,111.1776,111.55,111.16,111.58,110.83,2010-02-22 05:00:00,342450
207435823.0,110.1468,110.86,109.81,111.2,109.52,2010-02-23 05:00:00,533649
176488393.0,110.5426,110.14,110.82,111.0,109.86,2010-02-24 05:00:00,438987
259880896.0,109.8364,109.24,110.67,110.75,108.94,2010-02-25 05:00:00,623910
173827313.0,110.7487,110.77,110.74,111.12,110.11,2010-02-26 05:00:00,413791
147960335.0,111.6861,111.2,111.89,112.0,111.17,2010-03-01 05:00:00,363503
161249750.0,112.3766,112.37,112.2,112.74,112.0,2010-03-02 05:00:00,391822
150966031.0,112.502,112.49,112.3,112.97,112.02,2010-03-03 05:00:00,388115
135871793.0,112.4468,112.45,112.641,112.8,112.03,2010-03-04 05:00:00,356550
176107072.0,113.8391,113.37,114.25,114.34,113.1,2010-03-05 05:00:00,427251
114719752.0,114.3084,114.26,114.27,114.52,114.07,2010-03-08 05:00:00,327275
154685142.0,114.4684,113.93,114.46,114.99,113.87,2010-03-09 05:00:00,404839
186203181.0,114.8886,114.51,114.97,115.275,114.41,2010-03-10 05:00:00,464351
161059592.0,114.9587,114.7,115.45,115.48,114.35,2010-03-11 05:00:00,356610
162605723.0,115.4728,115.95,115.46,115.97,115.14,2010-03-12 05:00:00,406291
147032806.0,115.099,115.26,115.49,115.575,114.6,2010-03-15 04:00:00,364889
168784461.0,116.0437,115.81,116.41,116.52,115.49,2010-03-16 04:00:00,443970
177573832.0,116.9995,116.76,117.1,117.48,116.71,2010-03-17 04:00:00,394300
196616008.0,116.9624,117.11,117.0375,117.27,116.57,2010-03-18 04:00:00,427954
227092986.0,116.0897,116.96,115.97,117.293,115.52,2010-03-19 04:00:00,512156
184906447.0,116.2909,115.31,116.5925,116.8,115.24,2010-03-22 04:00:00,420801
183075889.0,116.9095,116.76,117.41,117.51,116.38,2010-03-23 04:00:00,386711
196387162.0,116.9782,116.97,116.84,117.4264,115.58,2010-03-24 04:00:00,418163
223618047.0,117.4253,117.63,116.65,118.1666,116.51,2010-03-25 04:00:00,518061
205967656.0,116.785,116.87,116.582,117.42,116.12,2010-03-26 04:00:00,491535
134983868.0,117.1919,117.1699,117.32,117.53,116.6886,2010-03-29 04:00:00,298333
145870515.0,117.3764,117.46,117.4,117.83,116.91,2010-03-30 04:00:00,337312
161259211.0,117.1047,116.95,117.0,117.52,116.61,2010-03-31 04:00:00,391455
161639604.0,117.6935,117.8,117.8,118.25,117.1,2010-04-01 04:00:00,399470
105865858.0,118.579,118.25,118.76,118.84,117.92,2010-04-05 04:00:00,290659
110551371.0,118.8098,118.42,119.04,119.25,118.29,2010-04-06 04:00:00,313287
183995923.0,118.5519,118.8,118.36,119.3567,117.81,2010-04-07 04:00:00,449046
158974601.0,118.3367,117.95,118.7725,118.97,117.6,2010-04-08 04:00:00,377119
133166339.0,119.1795,119.02,119.55,119.6,118.8,2010-04-09 04:00:00,337416
110471144.0,119.7845,119.7,119.74,120.05,119.56,2010-04-12 04:00:00,282280
125314010.0,119.5686,119.62,119.83,120.04,119.0,2010-04-13 04:00:00,321707
161784357.0,120.6032,120.27,121.19,121.19,120.08,2010-04-14 04:00:00,346791
144816180.0,121.228,120.99,121.29,121.5654,120.95,2010-04-15 04:00:00,342932
365326742.0,119.8511,120.86,119.36,121.285,118.75,2010-04-16 04:00:00,884993
218197352.0,119.2446,119.01,119.81,119.93,118.47,2010-04-19 04:00:00,557922
157758350.0,120.6123,120.56,120.88,120.98,120.17,2010-04-20 04:00:00,370132
193166582.0,120.6769,120.95,120.66,121.23,119.99,2010-04-21 04:00:00,424182
239370639.0,120.08,119.81,121.02,121.17,119.12,2010-04-22 04:00:00,544279
177029189.0,121.2318,120.94,121.8125,121.86,120.63,2010-04-23 04:00:00,453051
143562527.0,121.7179,121.85,121.35,122.12,121.23,2010-04-26 04:00:00,364263
356064009.0,119.727,120.65,118.48,121.3346,118.25,2010-04-27 04:00:00,815357
301025529.0,119.0517,119.05,119.38,119.68,118.27,2010-04-28 04:00:00,761626
194048557.0,120.6336,120.1,120.8575,121.11,120.07,2010-04-29 04:00:00,491527
270162561.0,119.8881,120.88,118.8125,121.01,118.78,2010-04-30 04:00:00,639170
183010091.0,120.0204,119.38,120.35,120.68,119.2,2010-05-03 04:00:00,473034
359841615.0,117.913,119.01,117.52,119.03,116.92,2010-05-04 04:00:00,810771
329449744.0,116.9058,116.56,116.82,117.8,115.97,2010-05-05 04:00:00,760059
645856524.0,114.0901,116.26,112.942,117.0,105.0,2010-05-06 04:00:00,1549211
635340889.0,111.816,112.64,111.26,113.77,109.41,2010-05-07 04:00:00,1576366
395592973.0,115.6605,115.81,116.16,116.65,114.91,2010-05-10 04:00:00,1044506
318179610.0,116.1221,115.07,115.83,117.36,114.91,2010-05-11 04:00:00,871603
235901601.0,116.8799,116.29,117.45,117.62,116.09,2010-05-12 04:00:00,644579
234710395.0,116.8766,117.13,115.99,117.68,115.89,2010-05-13 04:00:00,669208
